Fund Name,Category,Subcategory,Plan,isin,scheme_code,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),ytm_score,duration_score,maturity_score,credit_score,total_score,fund_rating,Top Holdings Count,Fund URL
DSP 10Y G-Sec Dir,debt,Gilt with 10 year,Direct,INF740K019I5,131301,1.61,6.4,4.79,Debt: Gilt with 10 year Constant Duration,3.1,7.06,5.76,7.1,6.98,GOI/Cash,9.26,6,3,4,10,23,Average,1,https://www.valueresearchonline.com/funds/28175/
ICICI Pru Constant Maturity Gilt Dir,debt,Gilt with 10 year,Direct,INF109KA1O37,131061,3.55,7.29,6.13,Debt: Gilt with 10 year Constant Duration,3.1,7.06,5.76,7.18,7.14,GOI/Cash,10.1,6,2,3,10,21,Average,8,https://www.valueresearchonline.com/funds/27957/
ICICI Pru Nifty 10 yr Benchmark G-Sec ETF,debt,Gilt with 10 year,Direct,INF109KC18O0,151196,1.59,6.52,,Debt: Gilt with 10 year Constant Duration,2.29,6.7,,7.09,7.26,GOI/Cash,9.89,6,2,4,10,22,Average,1,https://www.valueresearchonline.com/funds/42946/
SBI Constant Maturity 10-Year Gilt Dir,debt,Gilt with 10 year,Direct,INF200K01SK7,120137,3.08,6.99,6.05,Debt: Gilt with 10 year Constant Duration,3.1,7.06,5.76,7.23,7.03,GOI/Cash,9.53,7,2,4,10,23,Average,4,https://www.valueresearchonline.com/funds/17173/
SBI Nifty 10Y Benchmark G-Sec ETF,debt,Gilt with 10 year,Direct,INF200KA1JT1,139430,1.6,6.57,4.93,Debt: Gilt with 10 year Constant Duration,2.29,6.7,5.41,,,GOI/Cash,,,,,,,N/A,1,https://www.valueresearchonline.com/funds/32486/
UTI Gilt Fund with 10 year Constant Duration Dir,debt,Gilt with 10 year,Direct,INF789F1AVR7,150410,2.99,6.99,,Debt: Gilt with 10 year Constant Duration,3.1,7.06,,7.1,6.88,GOI/Cash,9.45,6,2,4,10,22,Average,6,https://www.valueresearchonline.com/funds/42374/
UTI Nifty 10 yr Benchmark G-Sec ETF,debt,Gilt with 10 year,Direct,INF789F1AZF3,152369,1.37,,,Debt: Gilt with 10 year Constant Duration,2.29,,,,,GOI/Cash,,,,,,,N/A,1,https://www.valueresearchonline.com/funds/44082/
360 ONE Liquid Dir,debt,Liquid,Direct,INF579M01621,125345,6.12,6.79,6.01,Debt: Liquid,6.22,6.92,6.14,6.58,0.12,AAA,0.12,4,10,10,9,33,Good,24,https://www.valueresearchonline.com/funds/22358/
ABSL Liquid Dir,debt,Liquid,Direct,INF209K01VA3,119568,6.39,7.04,6.25,Debt: Liquid,6.22,6.92,6.14,7.01,0.13,AAA,0.14,6,10,10,9,35,Good,25,https://www.valueresearchonline.com/funds/15800/
Abakkus Liquid Dir,debt,Liquid,Direct,INF2JJD01029,154051,,,,Debt: Liquid,,,,6.4,0.1,AAA,0.1,1,10,10,9,30,Good,25,https://www.valueresearchonline.com/funds/45690/
Angel One Nifty 1D Rate Liquid ETF-Growth,debt,Liquid,Direct,INF1J2R01056,153451,5.07,,,Debt: Liquid,5.8,,,5.45,0,Cash,0,,,,,,N/A,0,https://www.valueresearchonline.com/funds/45082/
Axis Liquid Dir,debt,Liquid,Direct,INF846K01CX4,120389,6.4,7.03,6.24,Debt: Liquid,6.22,6.92,6.14,6.64,0.1,AAA,0.1,,,,,,N/A,25,https://www.valueresearchonline.com/funds/15748/
Bajaj Finserv Liquid Dir,debt,Liquid,Direct,INF0QA701011,151833,6.31,,,Debt: Liquid,6.22,,,6.48,0.09,AAA,0.09,2,10,10,9,31,Good,25,https://www.valueresearchonline.com/funds/43593/
Bajaj Finserv Nifty 1D Rate Liquid ETF-Growth,debt,Liquid,Direct,INF0QA701854,152638,4.93,,,Debt: Liquid,5.8,,,5.39,0.01,CASH,0.01,,,,,,N/A,1,https://www.valueresearchonline.com/funds/44331/
Bandhan Liquid Dir,debt,Liquid,Direct,INF194K01I60,118364,6.32,6.98,6.18,Debt: Liquid,6.22,6.92,6.14,6.43,0.11,AAA,0.11,3,10,10,9,32,Good,25,https://www.valueresearchonline.com/funds/16472/
Bank of India Liquid Dir,debt,Liquid,Direct,INF761K01785,119369,6.32,7,6.22,Debt: Liquid,6.22,6.92,6.14,6.43,0.11,AAA,0.11,2,10,10,9,31,Good,25,https://www.valueresearchonline.com/funds/16274/
Baroda BNP Paribas Liquid Dir,debt,Liquid,Direct,INF955L01AL0,119415,6.28,6.96,6.2,Debt: Liquid,6.22,6.92,6.14,6.59,0.1,AAA,0.1,2,10,10,9,31,Good,25,https://www.valueresearchonline.com/funds/15774/
Canara Robeco Liquid Dir,debt,Liquid,Direct,INF760K01FU6,118305,6.31,6.99,6.19,Debt: Liquid,6.22,6.92,6.14,6.33,0.07,AAA,0.07,3,10,10,9,32,Good,25,https://www.valueresearchonline.com/funds/16615/
Capitalmind Liquid Dir,debt,Liquid,Direct,INF226401034,154011,,,,Debt: Liquid,,,,6.54,0.07,AAA,0.07,2,10,10,9,31,Good,15,https://www.valueresearchonline.com/funds/45638/
DSP BSE Liquid Rate ETF,debt,Liquid,Direct,INF740KA1UM0,152555,5.01,,,Debt: Liquid,5.8,,,,,Cash,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/44244/
DSP Liquidity Dir,debt,Liquid,Direct,INF740K01QL4,119125,6.37,7.01,6.21,Debt: Liquid,6.22,6.92,6.14,6.31,0.12,AAA,0.12,3,10,10,9,32,Good,25,https://www.valueresearchonline.com/funds/16111/
DSP NIFTY 1D Rate Liquid ETF,debt,Liquid,Direct,INF740KA1EU7,142589,4.7,5.75,5.11,Debt: Liquid,5.8,6.7,5.95,,,Cash,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/35400/
