Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,Duration Score (3),Maturity Score (3),YTM Score (3),Credit Score (3),Debt Quality (12),Std Dev Score (3),Sharpe Score (3),Sortino Score (3),Mean Return Score (3),Risk & Return (12),Num Stocks Score (2.5),Top10 Score (2.5),Top5 Score (2.5),Top3 Sectors Score (2.5),Diversification (10),PE Score (2),PB Score (2),Valuation (4),Num Securities Score (2),Portfolio Breadth (2),Total Score (40),Risk Category,Fund Rating
Shriram Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,4.14,11.5,9.97,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.49,11.83,11.68,7.05,1.93,AAA,2.21,25,https://www.valueresearchonline.com/funds/22588/,INF680P01042,125711,2,2,2,3,9,1,1,1,1,4,2,2,2,2,8,2,1.5,3.5,1.5,1.5,26,Moderate Risk,Average
Sundaram Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,0.52,11.41,10.86,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.1,0.48,11.47,11.36,6.9,2.81,AAA,4.05,25,https://www.valueresearchonline.com/funds/16521/,INF680P01059,125712,2,2,2,3,9,1,1,1,1,4,2,2,2,2,8,1.5,1.5,3,1.5,1.5,25.5,Moderate Risk,Average
Tata Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,2.61,10.17,10.59,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.34,11.88,9.87,7.96,3.02,AAA,5.16,25,https://www.valueresearchonline.com/funds/16662/,INF277K01MN2,119053,2,2,2,3,9,1,1,1,1,4,1.5,2,2,1.5,7,1.5,1.5,3,1.5,1.5,24.5,Moderate Risk,Average
Tata Retirement Savings Moderate Dir,hybrid,Aggressive Hybrid,Direct,4.23,14.51,12.34,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.65,13.9,14.92,,,AAA,,25,https://www.valueresearchonline.com/funds/17017/,INF277K01QN3,119255,1,1,1,3,6,1,1,1,2,5,1.5,2,2,1.5,7,1.5,1.5,3,1.5,1.5,22.5,Moderate Risk,Average
UTI Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,1.14,13.62,13.17,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.04,0.69,11.05,13.44,7.73,5.61,AAA,10.07,25,https://www.valueresearchonline.com/funds/15702/,INF789F01SK9,120674,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,15,Moderately High Risk,Average
Union Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,3.04,12.06,10.99,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.53,11.7,12.1,7.07,3.4,AAA,4.39,25,https://www.valueresearchonline.com/funds/41186/,INF582M01GY0,148592,2,2,2,3,9,1,1,1,1,4,2,2,2.5,1.5,8,1.5,1.5,3,1.5,1.5,25.5,Moderate Risk,Average
Zerodha Nifty LargeMidcap250 Plus 8-13 Yr G-Sec 70:30 Index Dir,hybrid,Aggressive Hybrid,Direct,,,,Hybrid: Aggressive Hybrid,,,,,,,,,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/45943/,INF0R8F01208,154321,,,,,,,,,,,,,,,,,,,,,,,
ABSL Aggressive Hybrid Omni FoF Reg,hybrid,Aggressive Hybrid,Regular,2.72,11.8,10.37,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.57,10,11.56,,,AAA,,8,https://www.valueresearchonline.com/funds/12659/,INF084M01077,132174,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,17,Moderately High Risk,Average
ABSL Equity Hybrid '95 Reg,hybrid,Aggressive Hybrid,Regular,0.08,10.65,9.16,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.44,11.31,10.86,8.07,4.23,AAA,6.58,25,https://www.valueresearchonline.com/funds/511/,INF209K01BT5,103155,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,15,Moderately High Risk,Average
ABSL Retirement 40s Reg,hybrid,Aggressive Hybrid,Regular,2.16,12.13,8.72,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.56,11.72,12.45,6.46,3.91,GOI/Cash,7.66,25,https://www.valueresearchonline.com/funds/39183/,INF209KB1I56,146929,2,2,1,3,8,2,1,1,2,6,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,26,Moderate Risk,Average
